Gene	description	family	hgnc_id	entrez_id	ensemble_id	location	pubmed_id	Vulnerable_Cell_lines_perc	Ribosomal_Proteins	DNA_replication	RNA_polymerase	Proteasome	Spliceosome	Histones	curated_BAGEL_essential	curated_BAGEL_nonEssential	ADM_PanCancer_CF	Vuln_CL_perc.Bone	Bone	Vuln_CL_perc.Breast	Breast	Vuln_CL_perc.Central.Nervous.System	Central.Nervous.System	Vuln_CL_perc.Endometrium	Endometrium	Vuln_CL_perc.Esophagus	Esophagus	Vuln_CL_perc.Haematopoietic.and.Lymphoid	Haematopoietic.and.Lymphoid	Vuln_CL_perc.Head.and.Neck	Head.and.Neck	Vuln_CL_perc.Large.Intestine	Large.Intestine	Vuln_CL_perc.Lung	Lung	Vuln_CL_perc.Ovary	Ovary	Vuln_CL_perc.Pancreas	Pancreas	Vuln_CL_perc.Peripheral.Nervous.System	Peripheral.Nervous.System	Vuln_CL_perc.Stomach	Stomach
CDC27	cell division cycle 27	Anaphase promoting complex |Tetratricopeptide repeat domain containing	HGNC:1728	996	ENSG00000004897	17q21.32	8234252	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
CKAP5	cytoskeleton associated protein 5		HGNC:28959	9793	ENSG00000175216	11p11.2	7788527|8536682	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
ERH	enhancer of rudimentary homolog (Drosophila)		HGNC:3447	2079	ENSG00000100632	14q24.1	8786099|9074495	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
FAM86B1	family with sequence similarity 86 member B1		HGNC:28268	85002	ENSG00000186523	08p23.1	12477932	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
NARS	asparaginyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class II	HGNC:7643	4677	ENSG00000134440	18q21.31	6836455|9421509	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
POLR2A	RNA polymerase II subunit A	RNA polymerase subunits	HGNC:9187	5430	ENSG00000181222	17p13.1		100	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
POLR2B	RNA polymerase II subunit B	RNA polymerase subunits	HGNC:9188	5431	ENSG00000047315	04q12	1518060|8034326	100	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
POLR2F	RNA polymerase II subunit F	RNA polymerase subunits	HGNC:9193	5435	ENSG00000100142	22q13.1	8786150	100	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
PRPF38A	pre-mRNA processing factor 38A		HGNC:25930	84950	ENSG00000134748	01p32.3	12477932	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
PSMB3	proteasome subunit beta 3	Proteasome	HGNC:9540	5691	ENSG00000277791	17q12	7918633	100	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
PSMC6	proteasome 26S subunit, ATPase 6	AAA ATPases|Proteasome	HGNC:9553	5706	ENSG00000100519	14q22.1	8674546|9473509	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RAN	RAN, member RAS oncogene family	RAN family GTPases	HGNC:9846	5901	ENSG00000132341	12q24.33	8421051	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPA1	replication protein A1	Nucleotide excision repair	HGNC:10289	6117	ENSG00000132383	17p13.3	8454588	100	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL11	ribosomal protein L11	L ribosomal proteins	HGNC:10301	6135	ENSG00000142676	01p36.11	9582194|10343117	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL13	ribosomal protein L13		HGNC:10303	6137	ENSG00000167526	16q24.3	9582194	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL14	ribosomal protein L14	L ribosomal proteins	HGNC:10305	9045	ENSG00000188846	03p22.1	9480843	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL15	ribosomal protein L15	L ribosomal proteins	HGNC:10306	6138	ENSG00000174748	03p24.2	9582194	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL18A	ribosomal protein L18a	L ribosomal proteins	HGNC:10311	6142	ENSG00000105640	19p13.11	9582194	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL3	ribosomal protein L3	L ribosomal proteins	HGNC:10332	6122	ENSG00000100316	22q13.1	2891103|9582194	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS11	ribosomal protein S11	S ribosomal proteins	HGNC:10384	6205	ENSG00000142534	19q13.3	1577483|9582194	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS15	ribosomal protein S15	S ribosomal proteins	HGNC:10388	6209	ENSG00000115268	19p13.3	2159154	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS19	ribosomal protein S19	S ribosomal proteins	HGNC:10402	6223	ENSG00000105372	19q13.2	9582194	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS23	ribosomal protein S23	S ribosomal proteins	HGNC:10410	6228	ENSG00000186468	05q14.2	9582194	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
