,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
GRB2,-0.371947697061927,-1.56819796909163,-1.67123145928881,-1.79554669297062,-0.816551782808118,264.483211051717,1.70647033475159e-23,2.08551538994097e-19
PHLDA2,0.305959960646191,1.29706077236163,1.59193637313005,2.04606501730429,0.952443050169971,259.151093793971,2.31814082136494e-23,2.08551538994097e-19
CSK,0.112477349578002,1.12891123589953,1.38838534071086,1.7429155692994,0.690196676600922,240.629049278705,7.06033671167091e-23,3.81098852715285e-19
SMARCB1,0.252947436466512,1.09176704612733,1.55241830668753,1.7918846681954,0.296034435397702,237.722016097302,8.47215812183149e-23,3.81098852715285e-19
EGFR,-0.414776025068765,-1.45741553123203,-1.71682410645714,-1.81159724933094,-0.664305655181241,233.681248038301,1.09548515976772e-22,3.94221289594013e-19
ERBB2,-0.401927300005773,-1.38595280307546,-1.50663391620396,-1.63437889585648,-0.991410495704063,217.478076145026,3.21153876813389e-22,9.63086950917219e-19
STK11,0.173868083418156,0.824901075099759,1.07208391859931,1.41381224514701,0.663699508701688,157.681404967397,3.805404359725e-20,9.78152009207599e-17
NF2,0.0765163063104835,0.739125794993399,0.837733204402948,1.05249974744475,0.773959090338479,125.914270885235,1.02861847208105e-18,2.3134915210193e-15
SHC1,-0.279342749628689,-1.16227445544015,-1.38411031729574,-1.60905224738075,-0.676819706698255,121.010645080644,1.83283733304675e-18,3.66424912594557e-15
PTPA,-0.00637609353484475,0.906871309175529,1.45337336805515,1.62034792070478,-0.4977565556313,118.695676150998,2.42595582228319e-18,4.36502231103414e-15
ATXN7L3,-0.000176941492386951,0.436921057213871,0.937844082436759,1.21494628089802,0.231369236633471,113.541925723253,4.6144542763897e-18,7.54798870864362e-15
CSDE1,0.427991843474631,0.806289802236311,1.0350091584147,1.17060933664936,0.345373318123145,109.26844554405,8.03105514548233e-18,1.20418979360553e-14
PTPN11,-0.258749419547513,-1.01606909341026,-1.06197618079412,-1.08301401430304,-0.320762756514484,105.366180864138,1.35608816638891e-17,1.87693033675659e-14
SMARCA4,0.0797806268877195,0.794864746889631,0.881900152922329,1.16571565717722,0.377801423331898,101.57680223104,2.29521687251699e-17,2.94984551337129e-14
TSC2,0.193248822997283,0.614310970866573,0.844386532898502,1.0348658822852,0.428668508344121,97.7310593503973,3.98990888416125e-17,4.78602870351423e-14
AP2S1,0.0221438194750944,0.649586058798058,1.19692634328375,1.12179402610688,-0.211252634728346,97.2786598764177,4.26366292820488e-17,4.7947554416994e-14
ARID1A,0.151932770109052,0.771439152121592,0.7855339484986,0.81661262601455,0.256659576075352,93.1369659044434,7.93446957852394e-17,8.39793594861067e-14
EIF4G2,0.140411087859894,0.914775841898005,1.12015351713557,1.10645997602122,-0.057954129031676,92.5895154376125,8.62964712002162e-17,8.62629114614162e-14
HES1,0.0158148950617929,-1.09217394933992,-1.14406410441698,-1.41837282153675,-0.547686177437909,89.6603047926336,1.36327716426885e-16,1.2910234745626e-13
NF1,0.237832725750967,1.04445235504699,1.43510721428013,1.61079536589546,0.896147511284499,85.6547874985749,2.60601760309176e-16,2.3445037366215e-13
STRAP,0.0620520318915469,0.89012902427835,1.06918817154939,1.28154286942777,0.24040973319381,79.1304999844792,7.96267456857909e-16,6.82249540535445e-13
ADSL,0.106160704444533,0.513038250536781,1.14135407423415,1.27262446122315,-0.623582831883624,77.1111279414232,1.14434870003691e-15,9.35921189080187e-13
GAREM1,-0.166629052004208,-0.661065796025623,-0.844641888516461,-1.02743856535873,-0.271341350767972,74.4905458488189,1.85606246163723e-15,1.4520057335756e-12
TADA2B,0.19215729477065,0.480638735157093,0.832948813368838,0.938078971581324,-0.0143423061635009,73.3035729474918,2.32232190258879e-15,1.74106408305334e-12
PCYT2,0.0394200082859801,0.384947821672092,0.875206406086856,1.02275158998378,0.0509470135390747,71.711257676995,3.15308813078473e-15,2.26934058948838e-12
AP2M1,0.0537102212611061,0.710896553819645,0.954150805805621,1.13571686461651,-0.627588370636347,70.3660287343936,4.10219102171134e-15,2.838873963602e-12
SDHC,0.102726274509082,0.229790324489356,0.763353803583797,1.01687138199308,-0.434420552507142,67.4128799920354,7.42845488910522e-15,4.87088767888215e-12
TAF6L,0.0263418636779374,0.519245373877739,0.786388145635561,0.946704617946657,-0.0461840492639244,67.1409162133287,7.8550897616852e-15,4.87088767888215e-12
SOS1,-0.231092741047786,-0.974467985772796,-0.964489716589844,-1.10602674910524,-0.551745687518421,67.0291791764286,8.03786592420427e-15,4.87088767888215e-12
PSENEN,-0.17538475420094,-0.643834962691368,-0.862399010400049,-1.03901489275316,-0.367144478178996,66.9790664264517,8.12130441652112e-15,4.87088767888215e-12
YRDC,-0.0607427542046389,0.317643190486302,0.986093050188143,1.22136219193408,-0.954259022353215,66.2076804271594,9.52890412383866e-15,5.53076038387836e-12
EXTL3,-0.0881740702638462,-0.689678668506908,-0.820018827433849,-1.11436628445337,-0.496172236570986,65.0999464643897,1.2022501603654e-14,6.7600272298296e-12
KLF3,0.0595219437069453,0.800392375543862,0.960037257255545,1.0331890471628,0.375249988477116,63.3566515262164,1.7457943676171e-14,9.51881153228319e-12
TARDBP,0.0888034197153613,0.665082358334346,0.902422406980787,0.960273791352651,0.0770756516325642,62.5442880306735,2.08369057648043e-14,1.10270131007684e-11
GART,0.169925317019211,0.431469231999818,0.896790671318721,1.04674264197651,-0.461903090370259,61.7923381044336,2.45893884668043e-14,1.2641053333806e-11
DNLZ,-0.0738427118813054,0.0256817840821234,0.982492216199421,0.716768880946966,-0.37627942396371,59.9022901294181,3.75809001174931e-14,1.87831426615015e-11
N6AMT1,0.058014896270331,0.362026861988958,0.919116036998649,1.05430310575269,-0.126698871181023,54.1923152451516,1.45941551423082e-13,7.09709820204194e-11
GRHL2,-0.190955902919429,-0.564389482844664,-0.551740561476925,-0.831576180275886,-0.312136543058889,53.4782185184698,1.74430825769598e-13,8.25929960019046e-11
PAICS,-0.108520639631637,0.357697628671286,0.834291299541647,1.11104796676882,-0.327168935415125,53.215465593091,1.86356351899149e-13,8.59771753774714e-11
WDR92,-0.0608949621845853,0.0719493904112151,0.811617832166584,0.869952635243484,-0.357779612243869,52.1678464328421,2.43269961941338e-13,1.09428910630262e-10
GAPDH,0.00071083926917493,0.521287535292378,1.06144892403083,1.0566203882235,-0.642094540530849,51.7923696932475,2.67954159606516e-13,1.17592663263415e-10
EIF4A1,0.339736305478013,0.66617624264472,1.01379940223368,1.06588021488757,-0.894096086740712,51.5269824975666,2.87001807657428e-13,1.22952941075717e-10
NCOR2,0.0250183653917553,0.376574414566785,0.55942040964272,0.776513938235435,-0.101214059142171,50.3662379525641,3.88956071984116e-13,1.62755502400237e-10
B4GALT7,-0.287555635297017,-0.467525151222195,-0.675025701992743,-0.929784270751633,-0.195400789915849,49.5239800137511,4.86784935852044e-13,1.99061848881496e-10
USP22,0.0336187965529553,0.345241235264932,0.50689006544761,0.805790608643161,0.323189352497328,48.8415249423876,5.85237233867387e-13,2.34003856643909e-10
YAP1,-0.0867366261610293,-0.672060317922365,-0.691081099860811,-0.968853658072062,-0.820317835463652,48.2680600568236,6.84372267853663e-13,2.6769370033676e-10
TADA1,0.0559742286020823,0.403836414932622,0.61029843485573,0.919239025149631,0.1456862371688,47.5461710664584,8.35270266162179e-13,3.19766338277789e-10
UBE2H,-0.0397477664191245,-0.457629509131546,-0.571192365206396,-1.06257438926521,-0.413006014193651,46.9460848849069,9.8767736307062e-13,3.53905167966556e-10
DHX36,0.166029530882788,0.486194523007194,0.640778602243193,0.87979853086986,-0.0525329100139466,46.9063330487544,9.98768133231756e-13,3.53905167966556e-10
ATIC,0.101447484164628,0.104537565162662,0.592004603847656,0.786875383000085,0.0520122723144566,46.9013885013486,1.00015690477624e-12,3.53905167966556e-10
WDR7,-0.190431869961691,0.554099589552384,0.814320593857647,0.969290480925259,-0.630882969646375,46.8908581479993,1.00312141200991e-12,3.53905167966556e-10
CAD,-0.152070737537302,0.353273661661351,0.905165599763195,0.971213058476274,-0.842956795752087,46.7636920473605,1.03966899923635e-12,3.58042681619278e-10
AMBRA1,-0.0329840128928328,0.608841811263961,0.555649691194683,0.717623002467104,0.905764436977671,46.712945438606,1.0546469252388e-12,3.58042681619278e-10
RICTOR,0.00156248375647288,0.571441261929263,0.766183124592384,0.760598299958,-0.00207330624759756,45.8119929603913,1.36256475194285e-12,4.54011621883474e-10
UBE2A,-0.0397304951379033,-0.480237189832662,-0.590701092504796,-0.571022081334633,-0.127980597985838,45.5272747001274,1.4787646268644e-12,4.83771126021293e-10
CAND1,0.147343833058303,0.670502081347657,0.624470737986128,0.974172559788372,0.11806528738742,45.3236151836514,1.56833035868266e-12,5.03910145424593e-10
MTHFD1,0.085070989088906,0.49366101885177,0.722265546228909,0.989525243907998,-0.32537370958509,44.3611684172956,2.07707023777547e-12,6.55661838391123e-10
SPPL3,0.115803086623914,0.416804859566796,0.690628923581117,0.853791336797632,0.649359980194318,44.273833629193,2.13124277876217e-12,6.61162953763238e-10
SIAH1,0.0873762656450047,0.386556102233589,0.53181538536543,0.731721500365534,0.567521745065107,43.8628426740984,2.40715174842201e-12,7.34099684904361e-10
PPP2R1A,-0.0914912058971774,0.424974562657746,0.673486277245398,0.825747802791138,-0.430342049480602,41.7705993664484,4.54219570166637e-12,1.36212878766805e-09
RBM14,-0.420469335519189,-1.00452851257801,-0.790013566194876,-0.38051959710924,-1.4139356849066,41.2840082418157,5.28502181685725e-12,1.55890815656906e-09
SSR2,0.00423877810204915,-0.80869845090106,-0.606709693786155,-0.604936909846875,-0.202075036206592,40.8488366221661,6.05932512757266e-12,1.75847479065185e-09
WDR18,-0.133279189924258,0.182429567393992,0.910392742016125,0.65067716295344,-0.997237538498627,40.7671251457104,6.21773097599808e-12,1.77580370557355e-09
TYMS,0.0691422925885228,0.527690608589242,0.694263315895564,0.704404793517466,-0.46291004594777,40.0091007630345,7.91589641413047e-12,2.2254800653039e-09
GAB1,-0.068812870915039,-0.712797497015426,-0.670568086907015,-0.725072791565145,-0.0791753073459055,39.9029520855669,8.19060524104412e-12,2.26728554003241e-09
MED16,-0.0168979448172409,0.489598484072595,0.538847067241583,0.634817455281066,-0.259656505864268,39.3025620409068,9.94795731465402e-12,2.70021825163659e-09
RACK1,0.00499736455955824,0.398588140129749,1.003394687332,0.629338277569458,-1.0198950555332,39.2698058899523,1.00547225509727e-11,2.70021825163659e-09
UMPS,0.0731577821764613,0.275527847168764,0.85473019644202,0.897317597374216,-0.427421160626395,38.475988388487,1.30529339279259e-11,3.45384470831133e-09
TAF5L,0.0318407891836662,0.2316495973938,0.535576095894203,0.825020897952423,0.0308839491768072,38.2712300645061,1.39718489987375e-11,3.64341273962729e-09
SDHB,0.0642269570339585,0.423935274714216,0.86211663121514,0.788497216664864,0.0773954893851372,38.0870447305764,1.48573685184241e-11,3.81898045360006e-09
PGK1,-0.0634023423136196,0.0334691322953111,0.782284084098738,0.74769417350526,-0.0247040918284285,38.0331850344819,1.51274596340048e-11,3.83363917175561e-09
COA5,0.0148863800650405,0.339582763103052,0.593668363103502,1.03152986332239,-0.319994539636127,36.4666146574799,2.57867702422373e-11,6.44418551345245e-09
MLST8,-0.084290618418664,0.460587061645582,0.613503829773033,0.693851823665421,-0.0441231474458255,36.4218173067154,2.61902017870479e-11,6.45534658567606e-09
CYB5R4,0.0992947217113397,0.695430423304479,0.774685148460903,0.828593915538451,-0.203848766351612,36.2618052970642,2.7686964678944e-11,6.66408166294778e-09
PDPK1,0.118193621781976,0.477071294553529,0.641555127857276,0.760318500558946,-0.398334376696525,36.252391739526,2.77778094103865e-11,6.66408166294778e-09
LCMT1,-0.0964127213375914,0.52027872649135,0.63056318552706,1.07667372098523,0.284315636266701,36.1879352174322,2.84084278817786e-11,6.72569530101108e-09
HS6ST1,-0.0119029423157883,-0.215857522125722,-0.571892202683377,-0.844358382071379,-0.394625744775688,35.5796593508436,3.5168175784078e-11,8.21572813120387e-09
CFL1,-0.201133468239399,-0.454380065621603,-0.496994194714986,-0.79899776032186,-0.170384588355557,35.5183152438447,3.59393163238678e-11,8.21572813120387e-09
TIPRL,0.0663961061740413,0.575125329633776,0.924656209470858,0.761853204483289,-0.144797181183272,35.5079058866097,3.6071945888129e-11,8.21572813120387e-09
