,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
SMARCB1,0.488434470964502,1.37710058608398,2.07310340209551,2.5393169268665,0.231216155406989,145.741800997725,2.27371844903127e-17,3.95354163917558e-13
EGFR,-0.431121138841743,-1.60886598193003,-3.05579361816292,-2.42388020970598,-1.1429442506453,110.964231513496,6.48226070139577e-16,5.63567745379348e-12
PHLDA2,0.265607032885227,1.41882771769887,1.64651854133779,2.09489515364243,0.904173833036927,94.6325957335771,4.47622481160172e-15,2.59441990080436e-11
GRB2,-0.339804636983915,-1.71438270242309,-1.8535744358907,-2.11423529018207,-1.17724774861284,80.6798728018524,3.03743147781662e-14,1.32037146340688e-10
STRAP,0.103732435196106,1.18156314600334,1.58998426725241,1.98766436775273,0.338098472237385,70.7312605703116,1.44775432462383e-13,5.03471043931184e-10
SMARCA4,0.270237682015274,1.10905824133944,1.24335422553095,1.74535197593316,0.34389729584335,69.3529880782787,1.82572539502406e-13,5.20619209980254e-10
CSK,0.305664065021346,1.36254030562271,1.538383974445,1.81516871736912,0.532601520707613,68.5446354050577,2.095890539373e-13,5.20619209980254e-10
SHC1,-0.260297718317965,-1.39311436268853,-1.56073215886182,-1.67976702783988,-0.662481680645506,61.5376831443723,7.40406069615814e-13,1.60927259230997e-09
PTPN11,-0.233035738290525,-2.13786631268636,-1.97422313577743,-2.22696234701545,-0.805964464742007,60.9131974649723,8.33697890065812e-13,1.61070432360715e-09
PTPA,0.0790195232641047,1.13002220205919,1.63828178615661,2.10803483736884,-0.856642358468922,57.8957684336463,1.50280451080667e-12,2.61307648339064e-09
ATXN7L3,-0.0485237623164275,0.686530830158347,1.67461264334676,2.00722413157927,-0.085893619513989,52.098798456969,5.05502116317572e-12,7.62073512311079e-09
EIF4G2,0.0391434795934896,1.06151854788997,1.66278376826054,1.29992713656795,-0.276263797483464,51.9184603550348,5.25930650318205e-12,7.62073512311079e-09
UBE2M,0.234546683020725,0.84289822164256,1.2653595111797,1.48509813963189,-1.11683401875565,50.9430236328638,6.53000175989422e-12,8.73412850777237e-09
YRDC,-0.136961882226102,0.243704330449172,0.997524715487908,1.64568514408811,-1.22315966492698,50.4167379904856,7.34987871096919e-12,9.12854935902374e-09
UBE2L3,0.259953689479325,0.974251147719081,0.892966299791709,1.54993818868063,-0.189159970135852,49.9050199471745,8.25425906780048e-12,9.56833711139431e-09
HES1,0.0346553961708765,-1.43262166310025,-1.59538703497819,-2.02119137541528,-1.16752654015836,47.445534311924,1.46352564679786e-11,1.59048649665757e-08
RBSN,0.262192464154497,0.724789665328717,1.12906251041386,1.46033510747253,-0.641660905543129,45.9194075179233,2.11562835800006e-11,2.16391446405324e-08
PPP6C,-0.000872957230785343,1.47084472722776,1.65468996429088,2.13557290872221,-0.885886416296813,44.3139898615218,3.15387768997678e-11,3.04664584851757e-08
ADSL,0.0269759379774206,0.407156832214735,1.34187311367794,1.94752423090885,-0.856023876780497,43.3932030679383,3.9880636267504e-11,3.64970791273347e-08
CYB5R4,0.293303553476025,0.956496222483755,1.43327535218259,2.09734057816589,-0.898556930102372,42.5533515010541,4.9585539491076e-11,4.31096680335415e-08
DLD,0.0859543584457133,0.370081842581457,1.06702951915241,1.13928387297638,-0.207085696478459,41.9075680209265,5.87739108928136e-11,4.86647982192497e-08
ERBB2,-0.364649919704532,-1.44470206757809,-1.3991001690813,-1.76023720980799,-1.24571278930069,38.6085909455145,1.45278470553868e-10,1.14822820272303e-07
ATIC,0.100787121210495,0.317881803167729,0.998003462462163,1.23032768043164,-0.219490725722107,38.0496699583563,1.70445855411336e-10,1.2885706669097e-07
RICTOR,0.0975397409653476,0.686772765397908,0.873593876230541,0.977199210052997,-0.139192052198597,36.1855101982917,2.9469690845226e-10,2.13507910173662e-07
STK11,0.149262522278487,0.876296832157897,0.967920154571534,1.38965318205746,0.513143040711743,34.1878251421787,5.4429555233287e-10,3.78568442558558e-07
EXTL3,-0.122799295333759,-0.77513253662711,-1.09828065808792,-1.56558472804986,-0.702971527270451,33.6842332978504,6.38321035579133e-10,4.26889467948075e-07
